OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT
27759,2016-03-17 23:08:59+00:00,Megaptera novaeangliae,Humpback Whale,5,34.172258,-119.50988,spotter_pro,5840,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.50988 34.172258)
27760,2016-03-17 16:47:54+00:00,Eschrichtius robustus,Gray Whale,3,34.288531,-119.177049,spotter_pro,5841,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.177049 34.288531)
27768,2016-03-18 16:23:35+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,20,34.388262,-119.676084,spotter_pro,5844,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.676084 34.388262)
27769,2016-03-18 17:01:51+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,15,34.408482,-119.800958,spotter_pro,5844,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.800958 34.408482)
27770,2016-03-18 17:15:15+00:00,Delphinus capensis,Common Long-Beaked Dolphin,255,34.369942,-119.795431,spotter_pro,5844,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.795431 34.369942)
27771,2016-03-18 17:29:09+00:00,Eschrichtius robustus,Gray Whale,1,34.362866,-119.778485,spotter_pro,5844,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.778485 34.362866)
27772,2016-03-18 18:03:56+00:00,Megaptera novaeangliae,Humpback Whale,1,34.095493,-119.624298,spotter_pro,5845,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.624298 34.095493)
27773,2016-03-18 18:29:09+00:00,Megaptera novaeangliae,Humpback Whale,2,34.058945,-119.674424,spotter_pro,5845,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.674424 34.058945)
27774,2016-03-18 18:42:48+00:00,Delphinus capensis,Common Long-Beaked Dolphin,70,34.05855,-119.675488,spotter_pro,5845,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.675488 34.05855)
27775,2016-03-18 18:41:37+00:00,Megaptera novaeangliae,Humpback Whale,2,34.058378,-119.674618,spotter_pro,5845,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.674618 34.058378)
