"","vernacularName","scientificName","OccurenceID","individualCount","app_used","lat","lon","occurenceStatus","date","month","year"
"58","Gray Whale","Eschrichtius robustus","51054",1,"spotter_pro",34.337301,-119.671922,"Certain",2018-02-16,2,2018
"59","Fin Whale","Balaenoptera physalus","51061",6,"spotter_pro",34.137576,-119.845362,"Certain",2018-02-17,2,2018
"60","Humpback Whale","Megaptera novaeangliae","51063",1,"spotter_pro",34.098663,-119.829632,"Certain",2018-02-17,2,2018
"61","Killer Whale (Orca)","Orcinus orca","51064",1,"spotter_pro",34.070835,-119.830453,"Certain",2018-02-17,2,2018
"62","Gray Whale","Eschrichtius robustus","51085",4,"spotter_pro",34.139657,-119.385437,"Certain",2018-02-18,2,2018
"63","Gray Whale","Eschrichtius robustus","51082",4,"spotter_pro",34.061996,-119.33671,"Certain",2018-02-18,2,2018
"64","Gray Whale","Eschrichtius robustus","51080",1,"spotter_pro",34.162471,-119.296182,"Certain",2018-02-18,2,2018
"65","Gray Whale","Eschrichtius robustus","51081",2,"spotter_pro",34.089462,-119.276932,"Certain",2018-02-18,2,2018
"66","Gray Whale","Eschrichtius robustus","51110",1,"spotter_pro",34.392027,-119.711658,"Certain",2018-02-21,2,2018
"67","Gray Whale","Eschrichtius robustus","51111",1,"spotter_pro",34.389112,-119.717677,"Certain",2018-02-21,2,2018
"68","Gray Whale","Eschrichtius robustus","51114",1,"spotter_pro",34.404443,-119.775052,"Certain",2018-02-22,2,2018
"69","Gray Whale","Eschrichtius robustus","51120",2,"spotter_pro",34.389517,-119.80381,"Certain",2018-02-23,2,2018
"70","Gray Whale","Eschrichtius robustus","51119",1,"spotter_pro",34.397127,-119.589291,"Certain",2018-02-23,2,2018
"71","Gray Whale","Eschrichtius robustus","51147",2,"spotter_pro",34.114164,-119.382693,"Certain",2018-02-25,2,2018
"72","Blue Whale","Balaenoptera musculus","51145",1,"spotter_pro",34.187964,-119.414249,"Certain",2018-02-25,2,2018
"73","Humpback Whale","Megaptera novaeangliae","51144",2,"spotter_pro",34.122278,-119.447773,"Certain",2018-02-25,2,2018
"74","Gray Whale","Eschrichtius robustus","51169",1,"spotter_pro",34.393908,-119.731876,"Certain",2018-02-26,2,2018
"75","Gray Whale","Eschrichtius robustus","51204",1,"spotter_pro",34.397258,-119.814489,"Certain",2018-02-28,2,2018
"76","Gray Whale","Eschrichtius robustus","51238",1,"spotter_pro",34.398427,-119.754165,"Certain",2018-03-02,3,2018
"77","Gray Whale","Eschrichtius robustus","51239",2,"spotter_pro",34.39631,-119.750862,"Certain",2018-03-02,3,2018
"78","Gray Whale","Eschrichtius robustus","51256",2,"spotter_pro",34.379105,-119.749442,"Certain",2018-03-04,3,2018
"79","Gray Whale","Eschrichtius robustus","51254",2,"spotter_pro",34.384554,-119.796786,"Certain",2018-03-04,3,2018
"80","Gray Whale","Eschrichtius robustus","51261",1,"spotter_pro",34.374777,-119.698828,"Certain",2018-03-04,3,2018
"81","Gray Whale","Eschrichtius robustus","51262",2,"spotter_pro",34.372397,-119.775097,"Certain",2018-03-04,3,2018
"82","Gray Whale","Eschrichtius robustus","51263",2,"spotter_pro",34.394981,-119.815274,"Certain",2018-03-04,3,2018
"83","Gray Whale","Eschrichtius robustus","51265",2,"spotter_pro",34.172565,-119.383106,"Certain",2018-03-04,3,2018
"84","Gray Whale","Eschrichtius robustus","51266",1,"spotter_pro",34.134205,-119.371843,"Certain",2018-03-04,3,2018
"85","Gray Whale","Eschrichtius robustus","51299",1,"spotter_pro",34.398333,-119.811968,"Certain",2018-03-05,3,2018
"86","Gray Whale","Eschrichtius robustus","51312",3,"spotter_pro",34.191623,-119.411317,"Certain",2018-03-07,3,2018
"87","Fin Whale","Balaenoptera physalus","51311",2,"spotter_pro",34.055491,-119.372783,"Certain",2018-03-07,3,2018
"88","Gray Whale","Eschrichtius robustus","51393",3,"spotter_pro",34.411819,-119.902594,"Certain",2018-03-07,3,2018
"89","Gray Whale","Eschrichtius robustus","51391",1,"spotter_pro",34.396728,-119.886609,"Certain",2018-03-07,3,2018
"90","Gray Whale","Eschrichtius robustus","51307",1,"spotter_pro",34.243984,-119.284712,"Certain",2018-03-07,3,2018
"91","Gray Whale","Eschrichtius robustus","51308",1,"spotter_pro",34.010398,-119.351443,"Certain",2018-03-07,3,2018
"92","Fin Whale","Balaenoptera physalus","51310",2,"spotter_pro",34.042402,-119.393584,"Certain",2018-03-08,3,2018
"93","Gray Whale","Eschrichtius robustus","51328",2,"spotter_pro",34.38593,-119.70163,"Certain",2018-03-08,3,2018
"94","Gray Whale","Eschrichtius robustus","51327",1,"spotter_pro",34.38794,-119.721307,"Certain",2018-03-08,3,2018
"95","Gray Whale","Eschrichtius robustus","51334",2,"spotter_pro",34.403689,-119.824,"Certain",2018-03-09,3,2018
"96","Gray Whale","Eschrichtius robustus","51344",1,"spotter_pro",34.173855,-119.385772,"Certain",2018-03-10,3,2018
"97","Gray Whale","Eschrichtius robustus","51345",2,"spotter_pro",34.162301,-119.357718,"Certain",2018-03-10,3,2018
"98","Gray Whale","Eschrichtius robustus","51343",2,"spotter_pro",34.177617,-119.397026,"Certain",2018-03-10,3,2018
"99","Gray Whale","Eschrichtius robustus","51388",1,"spotter_pro",34.389605,-119.710227,"Certain",2018-03-14,3,2018
"100","Gray Whale","Eschrichtius robustus","51387",2,"spotter_pro",34.375174,-119.685931,"Certain",2018-03-14,3,2018
"101","Gray Whale","Eschrichtius robustus","51401",2,"spotter_pro",34.394732,-119.775219,"Certain",2018-03-15,3,2018
"102","Gray Whale","Eschrichtius robustus","51400",3,"spotter_pro",34.381161,-119.805439,"Certain",2018-03-15,3,2018
"103","Gray Whale","Eschrichtius robustus","51410",1,"spotter_pro",34.397759,-119.680639,"Certain",2018-03-16,3,2018
"104","Gray Whale","Eschrichtius robustus","51408",3,"spotter_pro",34.379585,-119.734029,"Certain",2018-03-16,3,2018
"105","Gray Whale","Eschrichtius robustus","51409",3,"spotter_pro",34.294507,-119.611644,"Certain",2018-03-16,3,2018
"106","Gray Whale","Eschrichtius robustus","58792",3,"spotter_pro",34.357758,-119.71163,"Certain",2018-03-18,3,2018
"107","Gray Whale","Eschrichtius robustus","58790",2,"spotter_pro",34.358394,-119.720093,"Certain",2018-03-18,3,2018
"108","Gray Whale","Eschrichtius robustus","58791",1,"spotter_pro",34.383947,-119.729466,"Certain",2018-03-18,3,2018
"109","Gray Whale","Eschrichtius robustus","51445",5,"spotter_pro",34.345332,-119.76815,"Certain",2018-03-19,3,2018
"110","Gray Whale","Eschrichtius robustus","51443",5,"spotter_pro",34.352139,-119.81018,"Certain",2018-03-19,3,2018
"111","Gray Whale","Eschrichtius robustus","51444",3,"spotter_pro",34.353714,-119.689165,"Certain",2018-03-19,3,2018
"112","Humpback Whale","Megaptera novaeangliae","51479",3,"spotter_pro",34.082961,-119.418953,"Certain",2018-03-23,3,2018
"113","Gray Whale","Eschrichtius robustus","51495",2,"spotter_pro",34.363334,-119.715464,"Certain",2018-03-23,3,2018
"114","Gray Whale","Eschrichtius robustus","51496",1,"spotter_pro",34.372317,-119.816706,"Certain",2018-03-23,3,2018
"115","Gray Whale","Eschrichtius robustus","51505",3,"spotter_pro",34.136144,-119.37564,"Certain",2018-03-23,3,2018
"116","Humpback Whale","Megaptera novaeangliae","51502",3,"spotter_pro",34.142751,-119.447995,"Certain",2018-03-23,3,2018
"117","Humpback Whale","Megaptera novaeangliae","51504",2,"spotter_pro",34.137945,-119.417627,"Certain",2018-03-23,3,2018
"118","Gray Whale","Eschrichtius robustus","51520",3,"spotter_pro",34.367983,-119.817956,"Certain",2018-03-24,3,2018
"119","Gray Whale","Eschrichtius robustus","51579",2,"spotter_pro",34.115373,-119.298947,"Certain",2018-03-24,3,2018
"120","Gray Whale","Eschrichtius robustus","51577",3,"spotter_pro",34.114262,-119.302087,"Certain",2018-03-24,3,2018
"121","Gray Whale","Eschrichtius robustus","51576",1,"spotter_pro",34.115277,-119.314077,"Certain",2018-03-24,3,2018
"122","Gray Whale","Eschrichtius robustus","51578",1,"spotter_pro",34.119281,-119.317278,"Certain",2018-03-24,3,2018
"123","Gray Whale","Eschrichtius robustus","51580",3,"spotter_pro",34.123462,-119.312606,"Certain",2018-03-24,3,2018
"124","Gray Whale","Eschrichtius robustus","51581",1,"spotter_pro",34.124735,-119.312091,"Certain",2018-03-24,3,2018
"125","Gray Whale","Eschrichtius robustus","51525",2,"spotter_pro",34.365536,-119.723967,"Certain",2018-03-24,3,2018
"126","Gray Whale","Eschrichtius robustus","51524",2,"spotter_pro",34.37569,-119.74548,"Certain",2018-03-24,3,2018
"127","Gray Whale","Eschrichtius robustus","51526",2,"spotter_pro",34.391977,-119.730357,"Certain",2018-03-24,3,2018
"128","Gray Whale","Eschrichtius robustus","51599",3,"spotter_pro",34.384662,-119.768666,"Certain",2018-03-25,3,2018
"129","Gray Whale","Eschrichtius robustus","51570",3,"spotter_pro",34.387038,-119.683234,"Certain",2018-03-28,3,2018
"130","Gray Whale","Eschrichtius robustus","51575",1,"spotter_pro",34.206968,-119.50352,"Certain",2018-03-28,3,2018
"131","Humpback Whale","Megaptera novaeangliae","51585",1,"spotter_pro",34.165082,-119.491054,"Certain",2018-03-28,3,2018
"132","Humpback Whale","Megaptera novaeangliae","51584",2,"spotter_pro",34.153572,-119.42381,"Certain",2018-03-28,3,2018
"133","Gray Whale","Eschrichtius robustus","51598",3,"spotter_pro",34.395428,-119.736684,"Certain",2018-03-29,3,2018
"134","Gray Whale","Eschrichtius robustus","51609",2,"spotter_pro",34.402882,-119.898578,"Certain",2018-03-29,3,2018
"135","Gray Whale","Eschrichtius robustus","51607",1,"spotter_pro",34.389385,-119.74157,"Certain",2018-03-29,3,2018
"136","Gray Whale","Eschrichtius robustus","51623",1,"spotter_pro",34.390402,-119.726051,"Certain",2018-03-30,3,2018
"137","Gray Whale","Eschrichtius robustus","51624",1,"spotter_pro",34.40616,-119.793323,"Certain",2018-03-30,3,2018
"138","Gray Whale","Eschrichtius robustus","51625",2,"spotter_pro",34.391929,-119.734733,"Certain",2018-03-30,3,2018
"139","Gray Whale","Eschrichtius robustus","51643",1,"spotter_pro",34.100461,-119.297154,"Certain",2018-03-30,3,2018
"140","Blue Whale","Balaenoptera musculus","51645",1,"spotter_pro",34.054749,-119.342154,"Certain",2018-03-30,3,2018
"141","Gray Whale","Eschrichtius robustus","51633",2,"spotter_pro",34.395148,-119.74043,"Certain",2018-03-30,3,2018
"142","Humpback Whale","Megaptera novaeangliae","51640",2,"spotter_pro",34.153888,-119.37607,"Certain",2018-03-30,3,2018
"143","Gray Whale","Eschrichtius robustus","51638",3,"spotter_pro",34.148078,-119.354663,"Certain",2018-03-30,3,2018
"144","Gray Whale","Eschrichtius robustus","51665",2,"spotter_pro",34.408401,-119.803335,"Certain",2018-04-01,4,2018
"145","Gray Whale","Eschrichtius robustus","51671",2,"spotter_pro",34.400474,-119.78647,"Certain",2018-04-01,4,2018
"146","Gray Whale","Eschrichtius robustus","51719",2,"spotter_pro",34.397647,-119.78643,"Certain",2018-04-05,4,2018
"147","Gray Whale","Eschrichtius robustus","51718",1,"spotter_pro",34.393886,-119.829563,"Certain",2018-04-05,4,2018
"148","Gray Whale","Eschrichtius robustus","52043",2,"spotter_pro",34.399723,-119.792897,"Certain",2018-04-06,4,2018
"149","Gray Whale","Eschrichtius robustus","52042",2,"spotter_pro",34.387456,-119.716979,"Certain",2018-04-06,4,2018
"150","Gray Whale","Eschrichtius robustus","52040",3,"spotter_pro",34.379444,-119.736121,"Certain",2018-04-06,4,2018
"151","Gray Whale","Eschrichtius robustus","52074",2,"spotter_pro",34.402813,-119.76628,"Certain",2018-04-06,4,2018
"152","Gray Whale","Eschrichtius robustus","52073",2,"spotter_pro",34.405232,-119.894981,"Certain",2018-04-07,4,2018
"153","Gray Whale","Eschrichtius robustus","52068",2,"spotter_pro",34.39365,-119.736164,"Certain",2018-04-07,4,2018
"154","Gray Whale","Eschrichtius robustus","52069",1,"spotter_pro",34.402604,-119.879949,"Certain",2018-04-07,4,2018
"155","Gray Whale","Eschrichtius robustus","52115",2,"spotter_pro",34.389573,-119.720841,"Certain",2018-04-11,4,2018
"156","Gray Whale","Eschrichtius robustus","52113",2,"spotter_pro",34.401879,-119.752601,"Certain",2018-04-11,4,2018
"157","Gray Whale","Eschrichtius robustus","52114",1,"spotter_pro",34.404139,-119.685476,"Certain",2018-04-11,4,2018
"158","Gray Whale","Eschrichtius robustus","52118",2,"spotter_pro",34.389573,-119.720841,"Certain",2018-04-11,4,2018
"159","Gray Whale","Eschrichtius robustus","52116",2,"spotter_pro",34.401879,-119.752601,"Certain",2018-04-11,4,2018
"160","Gray Whale","Eschrichtius robustus","52117",1,"spotter_pro",34.404139,-119.685476,"Certain",2018-04-11,4,2018
"161","Gray Whale","Eschrichtius robustus","52149",2,"spotter_pro",34.115307,-119.328142,"Certain",2018-04-13,4,2018
"162","Fin Whale","Balaenoptera physalus","52148",1,"spotter_pro",34.051912,-119.353384,"Certain",2018-04-13,4,2018
"163","Gray Whale","Eschrichtius robustus","52150",2,"spotter_pro",34.422797,-119.92245,"Certain",2018-04-13,4,2018
"164","Fin Whale","Balaenoptera physalus","52152",1,"spotter_pro",34.041926,-119.254234,"Certain",2018-04-13,4,2018
"165","Fin Whale","Balaenoptera physalus","52153",1,"spotter_pro",34.039331,-119.254309,"Certain",2018-04-13,4,2018
"166","Humpback Whale","Megaptera novaeangliae","52159",2,"spotter_pro",34.246316,-119.743409,"Certain",2018-04-14,4,2018
"167","Gray Whale","Eschrichtius robustus","52162",2,"spotter_pro",34.404701,-119.814116,"Certain",2018-04-14,4,2018
"168","Gray Whale","Eschrichtius robustus","52172",1,"spotter_pro",34.398695,-119.674633,"Certain",2018-04-14,4,2018
"169","Gray Whale","Eschrichtius robustus","52171",2,"spotter_pro",34.398993,-119.743514,"Certain",2018-04-14,4,2018
"170","Gray Whale","Eschrichtius robustus","52184",1,"spotter_pro",34.150565,-119.255277,"Certain",2018-04-15,4,2018
"171","Gray Whale","Eschrichtius robustus","52186",2,"spotter_pro",34.232752,-119.324275,"Certain",2018-04-15,4,2018
"172","Gray Whale","Eschrichtius robustus","52188",4,"spotter_pro",34.393186,-119.730935,"Certain",2018-04-15,4,2018
"173","Gray Whale","Eschrichtius robustus","52189",2,"spotter_pro",34.399656,-119.75878,"Certain",2018-04-15,4,2018
"174","Gray Whale","Eschrichtius robustus","52190",2,"spotter_pro",34.400137,-119.760882,"Certain",2018-04-15,4,2018
"175","Gray Whale","Eschrichtius robustus","52193",1,"spotter_pro",34.282723,-119.39374,"Certain",2018-04-15,4,2018
"176","Gray Whale","Eschrichtius robustus","52194",2,"spotter_pro",34.28864,-119.418101,"Certain",2018-04-15,4,2018
"177","Gray Whale","Eschrichtius robustus","52213",2,"spotter_pro",34.403671,-119.777769,"Certain",2018-04-17,4,2018
"178","Gray Whale","Eschrichtius robustus","52212",2,"spotter_pro",34.411062,-119.793161,"Certain",2018-04-17,4,2018
"179","Gray Whale","Eschrichtius robustus","52218",2,"spotter_pro",34.402351,-119.762414,"Certain",2018-04-17,4,2018
"180","Gray Whale","Eschrichtius robustus","52241",4,"spotter_pro",34.407922,-119.931217,"Certain",2018-04-18,4,2018
"181","Fin Whale","Balaenoptera physalus","52231",1,"spotter_pro",34.129016,-119.45838,"Certain",2018-04-18,4,2018
"182","Humpback Whale","Megaptera novaeangliae","52234",2,"spotter_pro",34.284423,-120.151309,"Certain",2018-04-18,4,2018
"183","Humpback Whale","Megaptera novaeangliae","52236",1,"spotter_pro",34.281933,-120.201707,"Certain",2018-04-18,4,2018
"184","Humpback Whale","Megaptera novaeangliae","52232",2,"spotter_pro",34.302684,-120.228475,"Certain",2018-04-18,4,2018
"185","Fin Whale","Balaenoptera physalus","52233",2,"spotter_pro",34.101055,-119.553456,"Certain",2018-04-18,4,2018
"186","Fin Whale","Balaenoptera physalus","52235",1,"spotter_pro",34.061659,-119.390941,"Certain",2018-04-18,4,2018
"187","Fin Whale","Balaenoptera physalus","52243",2,"spotter_pro",34.337951,-119.817671,"Certain",2018-04-18,4,2018
"188","Gray Whale","Eschrichtius robustus","52260",1,"spotter_pro",34.390456,-119.70721,"Certain",2018-04-19,4,2018
"189","Gray Whale","Eschrichtius robustus","52279",2,"spotter_pro",34.402648,-119.761121,"Certain",2018-04-20,4,2018
"190","Gray Whale","Eschrichtius robustus","52277",2,"spotter_pro",34.393226,-119.570708,"Certain",2018-04-20,4,2018
"191","Humpback Whale","Megaptera novaeangliae","52292",2,"spotter_pro",34.339808,-119.560192,"Certain",2018-04-21,4,2018
"192","Gray Whale","Eschrichtius robustus","52878",2,"spotter_pro",34.393029,-119.749104,"Certain",2018-04-23,4,2018
"193","Gray Whale","Eschrichtius robustus","52872",2,"spotter_pro",34.39164,-119.694649,"Certain",2018-04-24,4,2018
"194","Gray Whale","Eschrichtius robustus","52871",2,"spotter_pro",34.392493,-119.730345,"Certain",2018-04-24,4,2018
"195","Gray Whale","Eschrichtius robustus","52373",2,"spotter_pro",34.408873,-119.82259,"Certain",2018-04-27,4,2018
"196","Fin Whale","Balaenoptera physalus","52869",2,"spotter_pro",34.357378,-119.888247,"Certain",2018-04-28,4,2018
"197","Fin Whale","Balaenoptera physalus","52870",2,"spotter_pro",34.36047,-119.887381,"Certain",2018-04-28,4,2018
"198","Gray Whale","Eschrichtius robustus","52425",2,"spotter_pro",34.399753,-119.751019,"Certain",2018-04-30,4,2018
"199","Gray Whale","Eschrichtius robustus","52444",4,"spotter_pro",34.409453,-119.804303,"Certain",2018-05-02,5,2018
"200","Gray Whale","Eschrichtius robustus","52449",2,"spotter_pro",34.403247,-119.766375,"Certain",2018-05-02,5,2018
"201","Gray Whale","Eschrichtius robustus","52486",4,"spotter_pro",34.414118,-119.898465,"Certain",2018-05-04,5,2018
"202","Gray Whale","Eschrichtius robustus","52861",2,"spotter_pro",34.409822,-119.813779,"Certain",2018-05-07,5,2018
"203","Gray Whale","Eschrichtius robustus","52595",2,"spotter_pro",34.39194,-119.719723,"Certain",2018-05-08,5,2018
"204","Gray Whale","Eschrichtius robustus","52616",2,"spotter_pro",34.394844,-119.696331,"Certain",2018-05-09,5,2018
"205","Gray Whale","Eschrichtius robustus","52652",2,"spotter_pro",34.393977,-119.734205,"Certain",2018-05-10,5,2018
"206","Gray Whale","Eschrichtius robustus","52859",2,"spotter_pro",34.408968,-119.799565,"Certain",2018-05-10,5,2018
"207","Humpback Whale","Megaptera novaeangliae","54016",2,"spotter_pro",34.142475,-119.332031,"Certain",2018-05-11,5,2018
"208","Gray Whale","Eschrichtius robustus","52675",2,"spotter_pro",34.391892,-119.71926,"Certain",2018-05-11,5,2018
"209","Blue Whale","Balaenoptera musculus","54014",1,"spotter_pro",34.076628,-119.483436,"Certain",2018-05-11,5,2018
"210","Gray Whale","Eschrichtius robustus","52698",2,"spotter_pro",34.390778,-119.721384,"Certain",2018-05-13,5,2018
"211","Humpback Whale","Megaptera novaeangliae","52725",3,"spotter_pro",34.36561,-120.823559,"Possible",2018-05-14,5,2018
"212","Humpback Whale","Megaptera novaeangliae","52772",1,"spotter_pro",34.132337,-119.87395,"Certain",2018-05-15,5,2018
"213","Humpback Whale","Megaptera novaeangliae","52768",2,"spotter_pro",34.129225,-119.852362,"Certain",2018-05-15,5,2018
"214","Blue Whale","Balaenoptera musculus","52769",1,"spotter_pro",34.112984,-119.809493,"Certain",2018-05-15,5,2018
"215","Humpback Whale","Megaptera novaeangliae","52770",2,"spotter_pro",34.134864,-119.801822,"Certain",2018-05-15,5,2018
"216","Blue Whale","Balaenoptera musculus","52780",1,"spotter_pro",34.13442,-119.572511,"Certain",2018-05-17,5,2018
"217","Blue Whale","Balaenoptera musculus","52841",2,"spotter_pro",34.102017,-119.668771,"Certain",2018-05-19,5,2018
"218","Blue Whale","Balaenoptera musculus","52840",4,"spotter_pro",34.092341,-119.638944,"Certain",2018-05-19,5,2018
"219","Humpback Whale","Megaptera novaeangliae","52857",1,"spotter_pro",34.154349,-119.711833,"Certain",2018-05-20,5,2018
"220","Blue Whale","Balaenoptera musculus","52856",2,"spotter_pro",34.102637,-119.685017,"Certain",2018-05-20,5,2018
"221","Blue Whale","Balaenoptera musculus","53047",2,"spotter_pro",34.398478,-119.674525,"Certain",2018-05-21,5,2018
"222","Humpback Whale","Megaptera novaeangliae","53049",2,"spotter_pro",34.04876,-119.670204,"Certain",2018-05-23,5,2018
