OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean,PK_UID,featurecla,scalerank,min_zoom,geom:1,in_channel
27267,2016-02-25 00:18:46+00:00,Delphinus capensis,Common Long-Beaked Dolphin,10,34.168008,-119.428472,spotter_pro,5699,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.428472 34.168008),,1,1,Ocean,0,0,,1
27266,2016-02-25 00:21:23+00:00,Eschrichtius robustus,Gray Whale,2,34.172845,-119.429239,spotter_pro,5699,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.429239 34.172845),,1,1,Ocean,0,0,,1
27268,2016-02-25 00:36:30+00:00,Balaenoptera musculus,Blue Whale,1,34.198853,-119.374305,spotter_pro,5699,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.374305 34.198853),,1,1,Ocean,0,0,,1
27303,2016-02-25 01:03:08+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,20,34.206533,-119.286217,spotter_pro,5707,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.286217 34.206533),,1,1,Ocean,0,0,,1
27340,2016-02-27 18:14:57+00:00,Megaptera novaeangliae,Humpback Whale,2,34.146789,-119.331612,spotter_pro,5715,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.331612 34.146789),,1,1,Ocean,0,0,,1
27341,2016-02-27 18:35:33+00:00,Delphinus capensis,Common Long-Beaked Dolphin,4,34.166203,-119.349756,spotter_pro,5715,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.349756 34.166203),,1,1,Ocean,0,0,,1
27339,2016-02-27 18:44:03+00:00,Eschrichtius robustus,Gray Whale,2,34.172513,-119.369368,spotter_pro,5715,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.369368 34.172513),,1,1,Ocean,0,0,,1
27419,2016-02-28 17:32:45+00:00,Eschrichtius robustus,Gray Whale,1,34.211849,-119.321695,spotter_pro,5728,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.321695 34.211849),,1,1,Ocean,0,0,,1
27420,2016-02-28 17:42:39+00:00,Eschrichtius robustus,Gray Whale,2,34.180778,-119.368795,spotter_pro,5728,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.368795 34.180778),,1,1,Ocean,0,0,,1
27430,2016-02-28 18:00:14+00:00,Eschrichtius robustus,Gray Whale,3,34.11288,-119.329342,spotter_pro,5732,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.329342 34.11288),,1,1,Ocean,0,0,,1
27469,2016-02-28 18:24:39+00:00,Delphinus capensis,Common Long-Beaked Dolphin,20,34.06784,-119.315468,spotter_pro,5742,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.315468 34.06784),,1,1,Ocean,0,0,,1
27431,2016-02-28 19:19:08+00:00,Delphinus capensis,Common Long-Beaked Dolphin,10,34.043647,-119.334043,spotter_pro,5732,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.334043 34.043647),,1,1,Ocean,0,0,,1
27429,2016-02-28 19:49:29+00:00,Eschrichtius robustus,Gray Whale,3,34.114174,-119.273557,spotter_pro,5732,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.273557 34.114174),,1,1,Ocean,0,0,,1
27432,2016-02-28 22:01:16+00:00,Delphinus capensis,Common Long-Beaked Dolphin,10,34.10861,-119.322131,spotter_pro,5733,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.322131 34.10861),,1,1,Ocean,0,0,,1
27433,2016-02-28 22:13:43+00:00,Delphinus capensis,Common Long-Beaked Dolphin,15,34.112636,-119.3601,spotter_pro,5733,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.3601 34.112636),,1,1,Ocean,0,0,,1
27404,2016-02-28 22:18:32+00:00,Balaenoptera physalus,Fin Whale,1,33.53365516,-117.8641759,whale_alert,5725,,HumanObservation,urn:lsid:marinespecies.org:taxname:137091,POINT (-117.8641759 33.53365516),,1,1,Ocean,0,0,,1
27434,2016-02-28 22:23:51+00:00,Delphinus capensis,Common Long-Beaked Dolphin,30,34.118466,-119.393305,spotter_pro,5733,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.393305 34.118466),,1,1,Ocean,0,0,,1
27435,2016-02-28 22:42:13+00:00,Eschrichtius robustus,Gray Whale,3,34.147857,-119.384806,spotter_pro,5733,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.384806 34.147857),,1,1,Ocean,0,0,,1
27418,2016-02-29 00:23:54+00:00,Eschrichtius robustus,Gray Whale,1,34.182723,-119.374078,spotter_pro,5727,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.374078 34.182723),,1,1,Ocean,0,0,,1
27446,2016-02-29 17:53:07+00:00,Eschrichtius robustus,Gray Whale,3,34.123954,-119.296966,spotter_pro,5736,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.296966 34.123954),,1,1,Ocean,0,0,,1
27445,2016-02-29 18:28:25+00:00,Eschrichtius robustus,Gray Whale,3,34.123841,-119.332612,spotter_pro,5736,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.332612 34.123841),,1,1,Ocean,0,0,,1
27447,2016-02-29 18:52:28+00:00,Eschrichtius robustus,Gray Whale,1,34.141219,-119.357082,spotter_pro,5736,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.357082 34.141219),,1,1,Ocean,0,0,,1
27448,2016-02-29 19:26:41+00:00,Eschrichtius robustus,Gray Whale,1,34.154113,-119.311276,spotter_pro,5736,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.311276 34.154113),,1,1,Ocean,0,0,,1
